##Letter	Relative frequency in the English language
z	0.074%
q	0.095%
x	0.150%
j	0.153%
k	0.772%
v	0.978%
b	1.492%
p	1.929%
y	1.974%
g	2.015%
f	2.228%
w	2.360%
m	2.406%
u	2.758%
c	2.782%
l	4.025%
d	4.253%
r	5.987%
h	6.094%
s	6.327%
n	6.749%
i	6.966%
o	7.507%
a	8.167%
t	9.056%
e	12.702%
##Letter	Relative frequency in the Espanol language
A	12,53
B	1,42
C	4,68
D	5,86
E	13,68
F	0,69
G	1,01
H	0,70
I	6,25
J	0,44
K	0,01
L	4,97
M	3,15
N	6,71
Ñ	0,31
O	8,68
P	2,51
Q	0,88
R	6,87
S	7,98
T	4,63
U	3,93
V	0,90
W	0,02
X	0,22
Y	0,90
Z	0,52
##Letter	Relative frequency in the Esperanto language
a	12,59	
i	9,36	
e	8,99
k	4,22
g	1,28
ŭ	0,51
o	8,80
u	3,36
b	1,15
h	0,50
n	7,79
m	3,06
f	1,09
ŝ	0,35
l	6,24
d	3,04
c	0,85
ĵ	0,15
r	5,97
p	2,82
ĝ	0,69	
ĥ	0,01
s	5,91	
j	2,71	
ĉ	0,67
t	5,50
v	1,87
z	0,52
##Letter	Relative frequency in the Deutsch language
E	17,40 %
N	9,78 %
I	7,55 %
S	7,27 %
R	7,00 %
A	6,51 %
T	6,15 %
D	5,08 %
H	4,76 %
U	4,35 %
L	3,44 %
C	3,06 %
G	3,01 %
M	2,53 %
O	2,51 %
B	1,89 %
W	1,89 %
F	1,66 %
K	1,21 %
Z	1,13 %
P	0,79 %
V	0,67 %
ß	0,31 %
J	0,27 %
Y	0,04 %
X	0,03 %
Q	0,02 %
##Letter	Relative frequency in the Français language
e	14,715
s	7,948
a	7,636
i	7,529
t	7,244
n	7,095
r	6,553
u	6,311
l	5,456
o	5,378
d	3,669
c	3,260
p	3,021
m	2,968
é	1,904
v	1,628
q	1,362
f	1,066
b	0,901
g	0,866
h	0,737
j	0,545
à	0,486
x	0,387
y	0,308
è	0,271
ê	0,225
z	0,136
w	0,114
ç	0,085
ù	0,058
k	0,049
î	0,045
œ	0,018
ï	0,006
ë	0,000
##Letter	Relative frequency in the Русский language
о	0,10983
е	0,08483
а	0,07998
и	0,07367
н	0,067
т	0,06318
с	0,05473
р	0,04746
в	0,04533
л	0,04343
к	0,03486
м	0,03203
д	0,02977
п	0,02804
у	0,02615
я	0,02001
ы	0,01898
ь	0,01735
г	0,01687
з	0,01641
б	0,01592
ч	0,0145
й	0,01208
х	0,00966
ж	0,0094
ш	0,00718
ю	0,00639
ц	0,00486
щ	0,00361
э	0,00331
ф	0,00267
ъ	0,00037
ё	0,00013
##Letter	Relative frequency in the Nederlands language
e	281.536
r	201.598
n	196.655
i	177.801
t	176.453
s	167.339
a	162.193
o	150.436
l	137.916
d	123.618
g	111.562
k	86.300
u	77.625
p	77.094
m	73.700
c	67.385
h	66.074
b	66.020
v	62.374
j	46.099
w	39.207
f	37.757
z	27.460
y	5.464
-	5.107
x	3.114
'	2.212
ë	1.852
q	902
ï	680
é	562
è	330
ö	235
.	196
ê	86
ü	75
1	55
2	34
6	34
3	33
5	27
4	25
0	25
7	22
ç	22
à	21
8	17
û	12
9	11
î	11
ñ	8
ä	5
ô	3
##Letter	Relative frequency in the Português language
a	8.167%
b	1.492%
c	2.782%
d	4.253%
e	12.702%
f	2.228%
g	2.015%
h	6.094%
i	6.966%
j	0.153%
k	0.772%
l	4.025%
m	2.406%
